Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
0 | 0.0 | -1
1 | 25.5 | 563
2 | 14.900000000000002 | 5742
3 | 16.3 | 6588
4 | 20.099999999999998 | 6020
5 | 25.700000000000003 | 7482
6 | 16.8 | 6112
7 | 21.1 | 2583
8 | 7.0 | 1781
9 | 17.4 | 1526
10 | 10.899999999999999 | 998
11 | 17.9 | 141
12 | 22.799999999999997 | 6718
13 | 13.1 | 393
14 | 18.5 | 1024
15 | 30.0 | 1568
16 | 12.9 | 141
17 | 17.1 | 7075
18 | 15.299999999999999 | 6704
19 | 15.1 | 4926
20 | 20.400000000000002 | 6498
21 | 20.1 | 899
22 | 21.0 | 3831
23 | 23.5 | 1714
24 | 23.999999999999996 | 1668
25 | 19.5 | 5157
26 | 20.899999999999995 | 5557
27 | Infinity | -1
28 | 14.5 | 4162
29 | 29.799999999999997 | 3088
30 | 18.3 | 876
31 | 21.4 | 2628
32 | 9.8 | 1781
33 | 16.1 | 2803
34 | 14.1 | 761
35 | 19.199999999999996 | 6262
36 | 27.6 | 745
37 | 23.499999999999996 | 3628
38 | 20.3 | 4206
39 | 22.099999999999998 | 933
40 | 12.8 | 1210
41 | 18.099999999999998 | 1144
42 | 27.6 | 4836
43 | 15.3 | 3941
44 | 11.5 | 505
45 | 24.4 | 3459
46 | 15.7 | 114
47 | 18.0 | 6555
48 | 18.6 | 6962
49 | 11.900000000000002 | 2128
50 | 9.2 | 6704
51 | 27.800000000000004 | 1976
52 | 17.8 | 6564
53 | 15.7 | 2460
54 | 16.3 | 6318
55 | 19.1 | 4793
56 | 21.700000000000003 | 1061
57 | 14.5 | 310
58 | 17.2 | 1526
59 | 17.7 | 5210
60 | 20.0 | 7335
61 | 20.4 | 5447
62 | 15.3 | 5880
63 | 23.5 | 6449
64 | 16.200000000000003 | 6536
65 | 23.0 | 708
66 | 19.1 | 691
67 | 20.299999999999997 | 5112
68 | 18.1 | 3578
69 | 23.200000000000003 | 5415
70 | 20.4 | 4956
71 | 25.3 | 354
72 | 7.6 | 1674
73 | 15.4 | 584
74 | 18.599999999999998 | 3960
75 | 19.2 | 3218
76 | 20.499999999999996 | 617
77 | 20.3 | 4114
78 | 17.4 | 3709
79 | 22.2 | 5393
80 | 22.1 | 268
81 | 20.2 | 3577
