Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
0 | 0.0 | -1
1 | 2.7 | 6742
2 | 0.7 | 4505
3 | 0.7 | 2544
4 | 1.9 | 5381
5 | 1.4 | 215
6 | 0.2 | 153
7 | 0.8 | 3959
8 | 0.8 | 6048
9 | 3.6 | 1450
10 | 0.8 | 1908
11 | 2.8 | 6584
12 | 2.8 | 4309
13 | 0.9 | 4089
14 | 2.9 | 5833
15 | 1.8 | 3215
16 | 3.3 | 4644
17 | 2.5 | 29
18 | 1.5 | 350
19 | 1.6 | 5927
20 | 1.4 | 6737
21 | 0.6 | 7455
22 | 2.2 | 5683
23 | 0.2 | 2475
24 | 3.8 | 2296
25 | 0.4 | 1482
26 | 0.9 | 3967
27 | 5.6 | 2097
28 | 2.0 | 5826
29 | 1.3 | 2085
30 | 0.1 | 5213
31 | 1.5 | 597
32 | 3.2 | 3570
33 | 2.7 | 2133
34 | 0.1 | 4724
35 | 0.4 | 2355
36 | 4.1 | 6868
37 | 1.6 | 5585
38 | 1.7 | 4509
39 | 2.2 | 5904
40 | 4.1 | 4804
41 | 0.3 | 7114
42 | 2.0 | 2644
43 | 5.1 | 6051
44 | 3.6 | 3461
45 | 3.4 | 7157
46 | 0.3 | 866
47 | 4.5 | 2309
48 | 0.7 | 7470
49 | 1.3 | 2803
50 | 1.6 | 362
51 | 1.4 | 3471
52 | 2.2 | 1209
53 | 2.0 | 4092
54 | 1.2 | 854
55 | 0.1 | 1595
56 | 2.7 | 6680
57 | 2.5 | 5398
58 | 1.3 | 867
59 | 1.0 | 3960
60 | 1.5 | 3777
61 | 0.8 | 4762
62 | 1.9 | 4563
63 | 1.1 | 1348
64 | 1.9 | 3088
65 | 1.0 | 5152
66 | 0.9 | 7382
67 | 2.6 | 5962
68 | 1.9 | 4161
69 | 3.3 | 2683
70 | 3.4 | 6137
71 | 3.0 | 5781
72 | 0.8 | 2796
73 | 1.1 | 6522
74 | 2.1 | 5805
75 | 0.3 | 348
76 | 1.5 | 924
77 | 0.5 | 5712
78 | 0.5 | 4632
79 | 3.8 | 7399
80 | 3.0 | 4530
81 | 1.0 | 6950
82 | 3.4 | 5683
83 | 1.5 | 3643
84 | 2.9 | 1158
85 | 1.0 | 4280
86 | 1.4 | 6832
87 | 0.7 | 2907
88 | 3.0 | 3336
89 | 0.8 | 927
90 | 4.4 | 4
91 | 0.5 | 2336
92 | 1.2 | 2136
93 | 2.0 | 1290
94 | 3.0 | 6203
95 | 3.2 | 764
96 | 1.7 | 6565
97 | 1.1 | 6183
98 | 1.6 | 5500
99 | 3.2 | 4727
100 | 5.0 | 2912
101 | 1.8 | 7265
102 | 2.0 | 1307
103 | 4.4 | 4177
104 | 2.9 | 357
105 | 4.8 | 4057
106 | 3.2 | 3569
107 | 0.9 | 6802
108 | 0.6 | 4984
109 | 1.8 | 1494
110 | 2.4 | 2022
111 | 2.7 | 5743
112 | 1.8 | 4162
113 | 1.0 | 3507
114 | 2.2 | 6506
115 | 3.3 | 3672
116 | 3.5 | 1250
117 | 0.2 | 94
118 | 0.2 | 29
119 | 1.6 | 1780
120 | 3.0 | 3624
121 | 4.6 | 3648
122 | 1.1 | 7122
123 | 1.4 | 2427
124 | 1.6 | 1100
125 | 0.5 | 5489
126 | 2.4 | 5896
127 | 1.2 | 6971
128 | 3.3 | 3805
129 | 4.4 | 3937
130 | 1.8 | 2061
131 | 0.2 | 6857
132 | 0.5 | 6915
133 | 2.7 | 1772
134 | 1.4 | 3939
135 | 1.6 | 6039
136 | 3.5 | 1563
137 | 1.9 | 6817
138 | 0.2 | 2980
139 | 4.0 | 7159
140 | 4.1 | 5441
141 | 0.4 | 6570
142 | 2.1 | 747
143 | 1.6 | 3866
144 | 2.1 | 6935
145 | 1.0 | 1506
146 | 1.5 | 1298
147 | 2.1 | 5886
148 | 6.3 | 3998
149 | 0.9 | 4430
150 | 2.9 | 3737
151 | 1.9 | 6587
152 | 3.6 | 1252
153 | 0.4 | 7326
154 | 3.5 | 3460
155 | 3.2 | 3678
156 | 1.9 | 5894
157 | 3.1 | 4056
158 | 2.3 | 391
159 | 7.5 | 6617
160 | 3.2 | 4473
161 | 2.7 | 5719
162 | 1.8 | 7450
163 | 1.3 | 5656
164 | 0.4 | 639
165 | 0.7 | 5198
166 | 0.5 | 101
167 | 0.2 | 7470
168 | 6.5 | 5664
169 | 3.9 | 31
170 | 1.0 | 3265
171 | 1.1 | 648
172 | 5.1 | 5397
173 | 1.9 | 1071
174 | 2.2 | 1970
175 | 2.0 | 4491
176 | 5.1 | 51
177 | 2.2 | 3281
178 | 0.2 | 2268
179 | 1.3 | 6438
180 | 1.2 | 2973
181 | 4.6 | 2043
182 | 2.8 | 4804
183 | 4.8 | 4714
184 | 0.3 | 5459
185 | 3.5 | 1396
186 | 3.2 | 3361
187 | 3.3 | 2339
188 | 0.6 | 4798
189 | 2.7 | 4842
190 | 1.6 | 1542
191 | 2.4 | 111
192 | 2.7 | 6687
193 | 1.1 | 7480
194 | 1.0 | 7328
195 | 0.5 | 1605
196 | 5.0 | 3274
197 | 0.1 | 5673
198 | 2.2 | 1327
199 | 1.5 | 2591
200 | 1.5 | 4299
201 | 0.1 | 6410
202 | 1.7 | 3436
203 | 4.0 | 666
204 | 5.7 | 5523
205 | 0.3 | 5260
206 | 2.3 | 3938
207 | 0.3 | 2324
208 | 3.6 | 6596
209 | 4.2 | 5545
210 | 1.6 | 4886
211 | 0.7 | 1669
212 | 3.3 | 1576
213 | 0.1 | 5835
214 | 2.5 | 1323
215 | 1.4 | 5004
216 | 2.1 | 7055
217 | 4.1 | 7246
218 | 2.9 | 6347
219 | 1.7 | 5539
220 | 7.2 | 7092
221 | 1.9 | 3953
222 | 0.1 | 3013
223 | 3.1 | 3331
224 | 2.0 | 5339
225 | 3.8 | 5093
226 | 5.1 | 1533
227 | 1.5 | 820
228 | 0.6 | 1350
229 | 2.2 | 2465
230 | 1.5 | 190
231 | 4.5 | 709
232 | 2.7 | 5119
233 | 2.3 | 4382
234 | 1.0 | 89
235 | 4.5 | 3336
236 | 1.3 | 3052
237 | 0.1 | 6207
238 | 2.0 | 817
239 | 0.6 | 4666
240 | 0.8 | 6256
241 | 0.3 | 1684
242 | 1.5 | 633
243 | 0.5 | 5893
244 | 0.9 | 7284
245 | 4.1 | 6535
246 | 0.3 | 6949
247 | 3.1 | 1848
248 | 1.6 | 1222
249 | 1.7 | 6457
250 | 3.5 | 5596
251 | 4.3 | 6704
252 | 0.3 | 4930
253 | 3.6 | 4412
254 | 1.6 | 5221
255 | 1.7 | 1787
256 | 0.7 | 6319
257 | 2.0 | 1123
258 | 0.6 | 5820
259 | 1.8 | 2559
260 | 0.1 | 175
261 | 0.7 | 1821
262 | 2.5 | 2877
263 | 0.9 | 2700
264 | 0.6 | 137
265 | 4.3 | 5678
266 | 2.4 | 2228
267 | 2.9 | 2075
268 | 2.5 | 2689
269 | 1.5 | 315
270 | 2.2 | 2809
