Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
0 | 0.0 | -1
1 | 35.50000000000001 | 4478
2 | 24.8 | 5982
3 | 34.5 | 6391
4 | 38.800000000000004 | 4500
5 | 17.8 | 298
6 | 23.699999999999996 | 3638
7 | 34.7 | 6475
8 | 24.9 | 1467
9 | 30.1 | 6753
10 | 36.9 | 2717
11 | 32.1 | 6360
12 | 25.9 | 401
13 | 29.099999999999998 | 2922
14 | 29.5 | 7010
15 | 29.0 | 3807
16 | 35.1 | 1580
17 | 23.199999999999996 | 6419
18 | 32.2 | 2919
19 | 25.399999999999995 | 1492
20 | 29.6 | 3291
21 | 27.700000000000003 | 715
22 | 26.399999999999995 | 2193
23 | 34.8 | 3597
24 | 31.200000000000003 | 4322
25 | 26.900000000000002 | 3194
26 | 34.1 | 4572
27 | 28.400000000000002 | 7189
28 | 23.6 | 1087
29 | 36.0 | 6407
30 | 36.6 | 1369
31 | 26.099999999999998 | 623
32 | 27.0 | 1393
33 | 30.7 | 7209
34 | 32.4 | 996
35 | 29.399999999999995 | 677
36 | 32.9 | 3716
37 | Infinity | -1
38 | 32.9 | 3070
39 | 27.999999999999996 | 370
40 | 24.8 | 6420
41 | 30.4 | 5885
42 | 34.300000000000004 | 3610
43 | 23.999999999999996 | 3101
44 | 20.299999999999997 | 1681
45 | 31.3 | 5738
46 | 28.8 | 945
47 | Infinity | -1
48 | 31.1 | 5312
49 | 37.0 | 4341
50 | 34.0 | 2328
51 | 39.5 | 581
52 | 31.3 | 5421
53 | 30.599999999999998 | 7081
54 | 25.3 | 1910
55 | 35.599999999999994 | 6216
56 | 23.5 | 1386
57 | 33.0 | 5287
58 | 33.300000000000004 | 2126
59 | 30.200000000000003 | 5606
60 | 22.7 | 1285
61 | 25.199999999999996 | 3201
62 | 27.199999999999996 | 5341
63 | 30.299999999999997 | 3690
64 | 36.3 | 764
65 | 29.7 | 1932
66 | 29.8 | 2433
67 | 30.900000000000002 | 2292
68 | 30.800000000000004 | 3183
69 | 30.799999999999997 | 5711
70 | 30.4 | 2770
71 | 32.9 | 4506
72 | 37.7 | 1354
73 | 34.3 | 5375
74 | 30.599999999999998 | 4406
75 | 36.7 | 3650
76 | 21.500000000000004 | 5485
77 | 26.199999999999996 | 2778
78 | 29.299999999999997 | 3804
79 | 31.999999999999996 | 903
80 | 31.199999999999996 | 6655
81 | 25.4 | 5433
82 | 23.900000000000002 | 5238
83 | 27.000000000000004 | 999
84 | 35.400000000000006 | 7201
85 | 28.2 | 1650
86 | 26.8 | 6450
87 | 25.0 | 3154
88 | 35.5 | 3401
89 | 27.9 | 3725
90 | 38.3 | 5248
91 | 19.399999999999995 | 1800
92 | 30.599999999999998 | 4554
93 | 37.199999999999996 | 4797
94 | 36.7 | 6462
95 | 34.2 | 916
96 | 29.499999999999996 | 3414
97 | 26.700000000000003 | 1734
98 | 33.2 | 857
99 | 24.599999999999998 | 5483
100 | 32.599999999999994 | 3802
101 | 34.800000000000004 | 1918
102 | 36.0 | 4416
103 | 33.8 | 1018
104 | 20.7 | 6158
105 | 31.900000000000002 | 6387
106 | 40.900000000000006 | 1541
107 | 28.700000000000003 | 6651
108 | 30.9 | 5893
109 | 33.3 | 3560
110 | 28.6 | 5142
111 | 32.9 | 2001
112 | 42.099999999999994 | 3399
113 | 26.099999999999994 | 2778
114 | 31.4 | 2691
115 | 31.199999999999996 | 1827
116 | 30.9 | 3706
117 | 25.499999999999996 | 4203
118 | 26.7 | 5103
119 | 34.300000000000004 | 2776
120 | 34.7 | 5419
121 | 25.0 | 4278
122 | 25.900000000000002 | 6999
123 | 25.3 | 4778
124 | 29.7 | 1346
125 | Infinity | -1
126 | 29.8 | 716
127 | 26.1 | 3476
128 | 31.0 | 4871
129 | 28.4 | 5636
130 | 31.999999999999993 | 2290
131 | 26.400000000000002 | 5868
132 | 27.900000000000002 | 6186
133 | 25.799999999999997 | 4765
134 | 20.800000000000004 | 3108
135 | 25.1 | 3836
136 | 30.400000000000002 | 1502
137 | 32.3 | 2220
138 | 25.3 | 3792
139 | 34.9 | 2991
140 | 23.199999999999996 | 6850
141 | 33.199999999999996 | 163
142 | 40.6 | 4118
143 | 32.5 | 5000
144 | 24.5 | 7195
145 | 28.5 | 4421
146 | 28.3 | 7408
147 | 26.1 | 1507
148 | 30.7 | 526
149 | Infinity | -1
150 | 24.399999999999995 | 6626
151 | 31.199999999999996 | 5504
152 | 29.7 | 5153
153 | 35.5 | 3582
154 | 32.4 | 5762
155 | 29.400000000000002 | 894
156 | 29.799999999999997 | 4797
157 | 33.0 | 1621
158 | 28.9 | 7275
159 | 24.699999999999996 | 3695
160 | 30.6 | 579
161 | 41.2 | 7399
162 | 28.3 | 5473
163 | 27.9 | 3962
164 | 30.7 | 6091
165 | 23.400000000000002 | 3108
166 | 21.7 | 7332
167 | 29.9 | 1085
168 | 29.099999999999994 | 2844
169 | 25.5 | 5340
170 | 27.7 | 4777
171 | 29.0 | 936
172 | 26.900000000000006 | 7253
173 | 31.4 | 2087
174 | 29.2 | 4492
175 | 31.099999999999998 | 2531
176 | 26.4 | 1560
177 | 28.299999999999997 | 2743
178 | 27.499999999999996 | 5932
179 | 33.4 | 1866
180 | 37.6 | 191
181 | 31.5 | 343
182 | 35.9 | 4479
183 | 32.5 | 3037
184 | 24.299999999999997 | 3765
185 | 23.8 | 1795
186 | 34.6 | 236
187 | 28.299999999999997 | 2380
188 | 33.2 | 4843
189 | 30.400000000000002 | 4989
190 | 32.2 | 5340
191 | 28.500000000000004 | 4973
192 | 32.2 | 1494
193 | 28.400000000000002 | 1169
194 | 30.5 | 5199
195 | 28.6 | 4107
196 | 18.3 | 424
197 | 36.199999999999996 | 2627
198 | 31.2 | 6320
199 | 29.099999999999998 | 7181
200 | 36.4 | 6763
201 | 23.500000000000004 | 4841
202 | 31.8 | 5726
203 | 26.499999999999996 | 4904
204 | 28.8 | 3404
205 | 35.3 | 6082
206 | 27.999999999999996 | 1949
207 | 23.0 | 3556
208 | Infinity | -1
209 | 27.0 | 4678
210 | 36.199999999999996 | 6494
211 | 32.5 | 2467
212 | 28.3 | 3687
213 | 34.300000000000004 | 6466
214 | 31.2 | 4005
215 | 26.7 | 5340
216 | 35.300000000000004 | 2283
217 | 28.999999999999996 | 3052
218 | 39.00000000000001 | 6040
219 | 34.49999999999999 | 2941
220 | 35.699999999999996 | 4997
221 | 34.8 | 1170
222 | 34.599999999999994 | 1838
223 | 35.699999999999996 | 6795
224 | 37.8 | 4534
225 | 29.1 | 1551
226 | 31.2 | 1156
227 | 23.800000000000004 | 1623
228 | 24.5 | 2574
229 | 20.099999999999998 | 3765
230 | 31.7 | 2971
231 | 29.200000000000003 | 6977
232 | 25.4 | 6761
233 | 25.7 | 7001
234 | 36.9 | 1520
235 | 35.5 | 7075
236 | 29.700000000000003 | 3551
237 | 30.3 | 3687
238 | 31.400000000000006 | 2637
239 | 38.49999999999999 | 2804
240 | 28.299999999999997 | 2445
241 | 31.200000000000006 | 1900
242 | 26.2 | 348
243 | 25.5 | 3752
244 | 38.900000000000006 | 4001
245 | 44.4 | 504
246 | 29.5 | 5029
247 | 22.699999999999996 | 2706
248 | 25.9 | 956
249 | 38.6 | 3815
250 | 22.3 | 1397
251 | 25.7 | 6241
252 | 30.3 | 7283
