Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
0 | 0.0 | -1
1 | 0.2 | 5246
2 | 0.8 | 5593
3 | 1.8 | 5019
4 | 1.8 | 1991
5 | 5.2 | 1614
6 | 2.8 | 7208
7 | 2.7 | 5497
8 | 1.3 | 767
9 | 1.0 | 4042
10 | 1.2 | 6419
11 | 1.2 | 2579
12 | 1.9 | 3273
13 | 3.9 | 1496
14 | 0.3 | 755
15 | 0.5 | 2002
16 | 1.5 | 1559
17 | 1.9 | 6390
18 | 0.5 | 4341
19 | 1.9 | 1600
20 | 1.5 | 4861
21 | 1.8 | 7021
22 | 3.8 | 1359
23 | 2.0 | 7329
24 | 0.4 | 1115
25 | 2.3 | 5617
26 | 4.0 | 5789
27 | 4.7 | 3338
28 | 4.7 | 5633
29 | 2.5 | 2427
30 | 2.0 | 6355
31 | 3.5 | 6814
32 | 1.7 | 5475
33 | 4.5 | 1966
34 | 1.2 | 3538
35 | 2.6 | 3330
36 | 3.7 | 2076
37 | 1.4 | 4531
38 | 1.0 | 203
39 | 2.3 | 6152
40 | 1.4 | 6497
41 | 0.3 | 7235
42 | 1.7 | 537
43 | 1.3 | 1548
44 | 2.5 | 4437
45 | 4.6 | 687
46 | 1.3 | 7310
47 | 0.8 | 7298
48 | 0.2 | 5140
49 | 1.5 | 6207
50 | 2.2 | 1796
51 | 3.3 | 6388
52 | 1.1 | 7059
53 | 1.7 | 270
54 | 6.2 | 3519
55 | 0.3 | 6727
56 | 1.4 | 468
57 | 0.8 | 2553
58 | 1.5 | 5003
59 | 1.1 | 6741
60 | 2.3 | 5122
61 | 0.3 | 1146
62 | 1.7 | 1057
63 | 0.2 | 5391
64 | 1.8 | 6152
65 | 0.1 | 4988
66 | 1.5 | 1260
67 | 0.3 | 3832
68 | 2.3 | 7459
69 | 0.9 | 3683
70 | 1.3 | 6672
71 | 0.7 | 5044
72 | 3.1 | 4460
73 | 1.8 | 2950
74 | 0.6 | 5183
75 | 0.4 | 614
76 | 0.3 | 5183
77 | 0.6 | 6170
78 | 5.3 | 3064
79 | 2.2 | 6765
80 | 3.8 | 5982
81 | 0.4 | 929
82 | 5.9 | 2536
83 | 4.7 | 2671
84 | 1.6 | 1508
85 | 3.2 | 6797
86 | 1.1 | 2556
87 | 3.7 | 6109
88 | 1.0 | 4341
89 | 1.5 | 1106
90 | 1.8 | 2119
91 | 1.6 | 1698
92 | 1.4 | 6906
93 | 2.0 | 5278
94 | 1.1 | 343
95 | 2.2 | 108
96 | 1.3 | 1195
97 | 1.6 | 3991
98 | 1.4 | 3849
99 | 0.4 | 6088
100 | 0.3 | 5362
101 | 1.9 | 5005
102 | 0.6 | 6392
103 | 3.1 | 214
104 | 1.6 | 3575
105 | 1.6 | 4210
106 | 1.8 | 7100
107 | 4.8 | 3345
108 | 0.1 | 4534
109 | 0.8 | 1005
110 | 0.3 | 6844
111 | 3.3 | 1697
112 | 1.0 | 4601
113 | 3.2 | 3504
114 | 2.3 | 6383
115 | 2.0 | 2603
116 | 3.8 | 5627
117 | 2.7 | 6980
118 | 0.7 | 5902
119 | 1.5 | 6709
